Table,Description_table,Field,Description,Data Type,Length,Column,Date
F31122,Work Order Time Transactions,WTYST,Processed Code,Character,1,1,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTDOCO,Document (Order No  Invoice  etc.),Numeric,8,2,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTDCTO,Order Type,String,2,3,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTAN8,Address Number,Numeric,8,4,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTPRTR,Transaction No. - Payroll,Numeric,9,5,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTKIT,Parent (short) Item Number,Numeric,8,6,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTKITL,Kit - 2nd Item Number,String,25,7,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTKITA,3rd Item Number - Kit,String,25,8,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTMMCU,Branch,String,12,9,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTMCU,Business Unit,String,12,10,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTOPSQ,Sequence Number - Operations,Numeric,5,11,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTOPST,Operation Status Code W.O.,String,2,12,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTTYR,Type of Hours,Character,1,13,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTEXR,Name - Remark Explanation,String,30,14,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTICU,Batch Number,Numeric,8,15,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTDCT,Document Type,String,2,16,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTDGL,Date - For G/L (and Voucher),Date,6,17,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTPBDT,Date - Time Clock Start,Date,6,18,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTPBTM,Time - Beginning (HH/MM/SS),Numeric,6,19,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTPETM,Time - Ending (HH/MM/SS),Numeric,6,20,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTSHFT,Shift Code,Character,1,21,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTAPID,Unit or Tag Number,String,12,22,2025-07-15 09:36:08.224336
F31122,Work Order Time Transactions,WTEBRT,Billing Rate - Equipment,Numeric,15,23,2025-07-15 09:36:08.224336
